mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
7  	7  	0       	0       	4/4    	5    	1    	i        	         	g        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
7  	7  	1/2     	1/2     	4/4    	5    	1    	v.i      	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
7  	7  	3/4     	3/4     	4/4    	5    	1    	V6       	         	g        	v       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
8  	8  	0       	0       	4/4    	5    	1    	i(9)     	         	g        	v       	     	i(9)     	i      	    	       	9      	            	       	         	m         	1                 	1                	0, -3, 1     	2          	0   	0
8  	8  	1/4     	1/4     	4/4    	5    	1    	i        	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
8  	8  	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	v       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
8  	8  	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
9  	9  	0       	0       	4/4    	5    	1    	iv6(2)   	         	g        	v       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1     	           	-1  	-4
9  	9  	1/4     	1/4     	4/4    	5    	1    	iv6      	         	g        	v       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1    	           	-1  	-4
9  	9  	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	v       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
9  	9  	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
10 	10 	0       	0       	4/4    	5    	1    	i        	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
10 	10 	1/2     	1/2     	4/4    	5    	1    	III.vi   	         	g        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
11 	11 	0       	0       	4/4    	5    	1    	II       	         	g        	III     	     	II       	II     	    	       	       	            	       	         	M         	1                 	0                	2, 6, 3      	           	2   	2
11 	11 	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
12 	12 	0       	0       	4/4    	5    	1    	iii      	         	g        	III     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
12 	12 	1/2     	1/2     	4/4    	5    	1    	VI       	         	g        	III     	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	0                	3, 7, 4      	           	3   	3
13 	13 	0       	0       	4/4    	5    	1    	II       	         	g        	III     	     	II       	II     	    	       	       	            	       	         	M         	1                 	0                	2, 6, 3      	           	2   	2
13 	13 	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
14 	14 	0       	0       	4/4    	5    	1    	I6       	         	g        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
14 	14 	1/4     	1/4     	4/4    	5    	1    	I        	         	g        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
14 	14 	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	III     	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
14 	14 	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
15 	15 	0       	0       	4/4    	5    	1    	I\\      	         	g        	III     	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
15 	15 	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
16 	16 	0       	0       	4/4    	5    	1    	ii       	         	g        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3     	           	2   	2
16 	16 	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
17 	17 	0       	0       	4/4    	5    	1    	iii      	         	g        	III     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
17 	17 	1/2     	1/2     	4/4    	5    	1    	vi       	         	g        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
18 	18 	0       	0       	4/4    	5    	1    	IV       	         	g        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
18 	18 	1/2     	1/2     	4/4    	5    	1    	ii       	         	g        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3     	           	2   	2
19 	19 	0       	0       	4/4    	5    	1    	V        	         	g        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
19 	19 	1/2     	1/2     	4/4    	5    	1    	iii      	         	g        	III     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
20 	20 	0       	0       	4/4    	5    	1    	vi65(2)  	         	g        	III     	     	vi65(2)  	vi     	    	65     	2      	            	       	         	mm7       	1                 	0                	0, 4, 1, 5   	           	3   	0
20 	20 	1/4     	1/4     	4/4    	5    	1    	vi65     	         	g        	III     	     	vi65     	vi     	    	65     	       	            	       	         	mm7       	1                 	0                	0, 4, 1, 3   	           	3   	0
20 	20 	1/2     	1/2     	4/4    	5    	1    	i.i      	         	g        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
21 	21 	0       	0       	4/4    	5    	1    	V(4)     	         	g        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
21 	21 	1/2     	1/2     	4/4    	5    	1    	V        	         	g        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
22 	22 	0       	0       	4/4    	5    	1    	I\\      	         	g        	i       	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
23 	23 	0       	0       	4/4    	5    	1    	i        	         	g        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
24 	24 	3/4     	3/4     	4/4    	5    	1    	ii       	#viio6   	g        	i       	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3     	           	2   	2
25 	25 	0       	0       	4/4    	5    	1    	III      	i6       	g        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
25 	25 	3/4     	3/4     	4/4    	5    	1    	IV       	ii6      	g        	i       	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
26 	26 	0       	0       	4/4    	5    	1    	v        	         	g        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
26 	26 	3/4     	3/4     	4/4    	5    	1    	VII.vii%7	         	g        	VII     	     	vii%7    	vii    	%   	7      	       	            	       	         	%7        	1                 	0                	5, 2, -1, 3  	           	5   	5
27 	27 	0       	0       	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
27 	27 	1/2     	1/2     	4/4    	5    	1    	vi6      	         	g        	VII     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3      	           	3   	0
27 	27 	3/4     	3/4     	4/4    	5    	1    	ii7      	         	g        	VII     	     	ii7      	ii     	    	7      	       	            	       	         	mm7       	1                 	0                	2, -1, 3, 0  	           	2   	2
28 	28 	0       	0       	4/4    	5    	1    	iii      	         	g        	VII     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
