mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
10	10	3/4     	3/4     	4/4    	5    	1    	i6       	         	g        	i       	     	i6      	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
11	11	0       	0       	4/4    	5    	1    	III6     	         	g        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
11	11	1/4     	1/4     	4/4    	5    	1    	ii6      	         	g        	i       	     	ii6     	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2    	           	2   	-1
11	11	3/8     	3/8     	4/4    	5    	1    	III6     	         	g        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
11	11	1/2     	1/2     	4/4    	5    	1    	iv6      	         	g        	i       	     	iv6     	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1   	           	-1  	-4
12	12	0       	0       	4/4    	5    	1    	III6     	         	g        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
12	12	1/4     	1/4     	4/4    	5    	1    	ii6      	         	g        	i       	     	ii6     	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2    	           	2   	-1
12	12	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	i       	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0    	           	-1  	-1
12	12	3/4     	3/4     	4/4    	5    	1    	i6       	         	g        	i       	     	i6      	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
13	13	1/4     	1/4     	4/4    	5    	1    	#viio6   	         	g        	i       	     	#viio6  	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5    	           	5   	2
13	13	3/8     	3/8     	4/4    	5    	1    	vio6     	         	g        	i       	     	vio6    	vi     	o   	6      	       	            	       	         	o         	1                 	1                	-7, -10, -4 	           	-4  	-7
13	13	1/2     	1/2     	4/4    	5    	1    	#viio6   	         	g        	i       	     	#viio6  	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5    	           	5   	2
14	14	0       	0       	4/4    	5    	1    	i\\      	         	g        	i       	     	i       	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
14	14	1/4     	1/4     	4/4    	5    	1    	i        	         	g        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
