mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label       	alt_label	globalkey	localkey	pedal	chord       	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
96 	95 	0       	0       	3/1    	5    	1    	i\\         	         	C        	vi      	     	i           	i      	    	       	       	            	       	\\       	m         	0                 	1                	0, -3, 1     	           	0   	0
97 	95 	0       	0       	4/4    	5    	1    	I.I         	         	C        	I       	     	I           	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1      	           	0   	0
98 	96 	0       	0       	4/4    	5    	1    	vi6         	         	C        	I       	     	vi6         	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3      	           	3   	0
98 	96 	3/8     	3/8     	4/4    	5    	1    	iii         	         	C        	I       	     	iii         	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5      	           	4   	4
98 	96 	1/2     	1/2     	4/4    	5    	1    	IV          	         	C        	I       	     	IV          	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0     	           	-1  	-1
100	98 	0       	0       	4/4    	5    	1    	vi          	IV6      	C        	I       	     	vi          	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4      	           	3   	3
101	99 	0       	0       	4/4    	5    	1    	V(4)        	         	C        	I       	     	V(4)        	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2      	           	1   	1
101	99 	1/2     	1/2     	4/4    	5    	1    	V           	         	C        	I       	     	V           	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2      	           	1   	1
102	100	0       	0       	4/4    	5    	1    	I\\         	         	C        	I       	     	I           	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1      	           	0   	0
103	101	1/4     	1/4     	4/4    	5    	1    	I           	         	C        	I       	     	I           	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1      	           	0   	0
103	101	7/8     	7/8     	4/4    	5    	1    	V           	         	C        	I       	     	V           	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2      	           	1   	1
104	102	0       	0       	4/4    	5    	1    	vi          	         	C        	I       	     	vi          	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4      	           	3   	3
104	102	1/4     	1/4     	4/4    	5    	1    	iii         	         	C        	I       	     	iii         	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5      	           	4   	4
104	102	1/2     	1/2     	4/4    	5    	1    	IV          	         	C        	I       	     	IV          	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0     	           	-1  	-1
105	103	0       	0       	4/4    	5    	1    	I           	         	C        	I       	     	I           	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1      	           	0   	0
105	103	1/2     	1/2     	4/4    	5    	1    	viio6/V     	         	C        	I       	     	viio6/V     	vii    	o   	6      	       	V           	       	         	o         	0                 	0                	3, 0, 6      	           	6   	3
106	104	0       	0       	4/4    	5    	1    	iii         	         	C        	I       	     	iii         	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5      	           	4   	4
106	104	1/2     	1/2     	4/4    	5    	1    	I6(+4)      	         	C        	I       	     	I6(+4)      	I      	    	6      	+4     	            	       	         	M         	0                 	0                	4, 1, 0      	-1         	0   	4
106	104	3/4     	3/4     	4/4    	5    	1    	IVM7        	         	C        	I       	     	IVM7        	IV     	M   	7      	       	            	       	         	MM7       	0                 	0                	-1, 3, 0, 4  	           	-1  	-1
107	105	0       	0       	4/4    	5    	1    	V(4)        	         	C        	I       	     	V(4)        	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2      	           	1   	1
107	105	1/2     	1/2     	4/4    	5    	1    	V           	         	C        	I       	     	V           	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2      	           	1   	1
108	106	0       	0       	4/4    	5    	1    	I\\         	         	C        	I       	     	I           	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1      	           	0   	0
