mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12 	12 	0       	0       	3/1    	4    	1    	vi6      	a        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3    	           	3   	0
12 	12 	1       	1       	3/1    	4    	1    	V\\      	a        	III     	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	0                	1, 5, 2    	           	1   	1
13 	13 	0       	0       	3/1    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
14 	14 	1       	1       	3/1    	4    	1    	iii\\    	a        	III     	     	iii      	iii    	    	       	       	            	       	\\       	m         	1                 	0                	4, 1, 5    	           	4   	4
15 	15 	0       	0       	3/1    	4    	1    	IV       	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
16 	16 	0       	0       	3/1    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
16 	16 	1       	1       	3/1    	4    	1    	viio6(2) 	a        	III     	     	viio6(2) 	vii    	o   	6      	2      	            	       	         	o         	1                 	0                	2, -1, 0   	           	5   	2
16 	16 	2       	2       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
17 	17 	0       	0       	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
17 	17 	1       	1       	3/1    	4    	1    	I6(+4)   	a        	III     	     	I6(+4)   	I      	    	6      	+4     	            	       	         	M         	1                 	0                	4, 1, 0    	-1         	0   	4
17 	17 	2       	2       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
18 	18 	0       	0       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
18 	18 	1       	1       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
18 	18 	2       	2       	3/1    	4    	1    	iii6     	a        	III     	     	iii6     	iii    	    	6      	       	            	       	         	m         	1                 	0                	1, 5, 4    	           	4   	1
19 	19 	0       	0       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
19 	19 	1       	1       	3/1    	4    	1    	iii6     	a        	III     	     	iii6     	iii    	    	6      	       	            	       	         	m         	1                 	0                	1, 5, 4    	           	4   	1
19 	19 	2       	2       	3/1    	4    	1    	IV6      	a        	III     	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	0                	3, 0, -1   	           	-1  	3
20 	20 	0       	0       	3/1    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
20 	20 	1       	1       	3/1    	4    	1    	I\\      	a        	III     	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
21 	21 	1/4     	1/4     	4/4    	4    	1    	i.i6     	a        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
21 	21 	1/2     	1/2     	4/4    	4    	1    	#viio    	a        	i       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1   	           	5   	5
23 	23 	1/2     	1/2     	4/4    	4    	1    	#viio6(9)	a        	i       	     	#viio6(9)	#vii   	o   	6      	9      	            	       	         	o         	1                 	1                	2, -1, 5   	0          	5   	2
23 	23 	7/8     	7/8     	4/4    	4    	1    	#viio6   	a        	i       	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5   	           	5   	2
24 	24 	0       	0       	4/4    	4    	1    	i\\      	a        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
25 	25 	0       	0       	4/4    	4    	1    	V65      	a        	i       	     	V65      	V      	    	65     	       	            	       	         	Mm7       	1                 	1                	5, 2, -1, 1	           	1   	5
27 	27 	0       	0       	4/4    	4    	1    	i\\      	a        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
28 	28 	0       	0       	4/4    	4    	1    	v6       	a        	i       	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
29 	29 	0       	0       	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
30 	30 	1/4     	1/4     	4/4    	4    	1    	iv6(97)  	a        	i       	     	iv6(97)  	iv     	    	6      	97     	            	       	         	m         	1                 	1                	-4, 0, -3  	1          	-1  	-4
31 	31 	0       	0       	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
32 	32 	0       	0       	4/4    	4    	1    	V(64)    	a        	i       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
32 	32 	3/4     	3/4     	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
33 	33 	0       	0       	4/4    	4    	1    	V\\      	a        	i       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2    	           	1   	1
34 	34 	0       	0       	3/1    	4    	1    	III.IV   	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
34 	34 	1       	1       	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
34 	34 	3/2     	3/2     	3/1    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
34 	34 	2       	2       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
35 	35 	0       	0       	3/1    	4    	1    	IV       	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
35 	35 	1       	1       	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
35 	35 	3/2     	3/2     	3/1    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
35 	35 	5/2     	5/2     	3/1    	4    	1    	iii      	a        	III     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5    	           	4   	4
36 	36 	0       	0       	3/1    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
36 	36 	1       	1       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
36 	36 	3/2     	3/2     	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
36 	36 	2       	2       	3/1    	4    	1    	viio6    	a        	III     	     	viio6    	vii    	o   	6      	       	            	       	         	o         	1                 	0                	2, -1, 5   	           	5   	2
36 	36 	5/2     	5/2     	3/1    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
37 	37 	0       	0       	3/1    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
37 	37 	1       	1       	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
37 	37 	2       	2       	3/1    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
38 	38 	0       	0       	3/1    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
38 	38 	1       	1       	3/1    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
38 	38 	3/2     	3/2     	3/1    	4    	1    	VII.V    	a        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
38 	38 	5/2     	5/2     	3/1    	4    	1    	iii      	a        	VII     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5    	           	4   	4
39 	39 	0       	0       	3/1    	4    	1    	vi       	a        	VII     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
39 	39 	1       	1       	3/1    	4    	1    	IV       	a        	VII     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
39 	39 	3/2     	3/2     	3/1    	4    	1    	ii       	a        	VII     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
39 	39 	5/2     	5/2     	3/1    	4    	1    	V        	a        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
40 	40 	0       	0       	4/4    	4    	1    	I\\      	a        	VII     	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
41 	41 	0       	0       	4/4    	4    	1    	III.V(6) 	a        	III     	     	V(6)     	V      	    	       	6      	            	       	         	M         	1                 	0                	1, 5, 4    	           	1   	1
41 	41 	1/4     	1/4     	4/4    	4    	1    	V(64)    	a        	III     	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	0                	1, 0, 4    	           	1   	1
41 	41 	1/2     	1/2     	4/4    	4    	1    	V(4)     	a        	III     	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2    	           	1   	1
41 	41 	3/4     	3/4     	4/4    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
42 	42 	0       	0       	4/4    	4    	1    	I\\      	a        	III     	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1    	           	0   	0
43 	43 	1/2     	1/2     	4/4    	4    	1    	i.iv6(2) 	a        	i       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1   	           	-1  	-4
43 	43 	3/4     	3/4     	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
44 	44 	0       	0       	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
44 	44 	1/2     	1/2     	4/4    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
45 	45 	1/2     	1/2     	4/4    	4    	1    	V(4)     	a        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2    	           	1   	1
45 	45 	3/4     	3/4     	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
46 	46 	0       	0       	4/4    	4    	1    	I6       	a        	i       	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	1                	4, 1, 0    	           	0   	4
47 	47 	0       	0       	4/4    	4    	1    	IV       	a        	i       	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0   	           	-1  	-1
48 	48 	0       	0       	4/4    	4    	1    	VII6     	a        	i       	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2  	           	-2  	2
49 	49 	0       	0       	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
49 	49 	3/4     	3/4     	4/4    	4    	1    	V(4)     	a        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2    	           	1   	1
50 	50 	3/4     	3/4     	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
51 	51 	0       	0       	4/4    	4    	1    	i\\      	a        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
56 	56 	7/8     	7/8     	4/4    	4    	1    	V6(4)    	a        	i       	     	V6(4)    	V      	    	6      	4      	            	       	         	M         	1                 	1                	0, 2, 1    	           	1   	0
56 	56 	15/16   	15/16   	4/4    	4    	1    	V6       	a        	i       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
57 	57 	0       	0       	4/4    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
58 	58 	1/2     	1/2     	4/4    	4    	1    	V6(4)    	a        	i       	     	V6(4)    	V      	    	6      	4      	            	       	         	M         	1                 	1                	0, 2, 1    	           	1   	0
58 	58 	7/8     	7/8     	4/4    	4    	1    	V6       	a        	i       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
59 	59 	0       	0       	4/4    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
60 	60 	1/4     	1/4     	4/4    	4    	1    	iv6(2)   	a        	i       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1   	           	-1  	-4
60 	60 	3/4     	3/4     	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
61 	61 	5/8     	5/8     	4/4    	4    	1    	iv6(2)   	a        	i       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1   	           	-1  	-4
62 	62 	1/4     	1/4     	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
62 	62 	1/2     	1/2     	4/4    	4    	1    	V(4)     	a        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2    	           	1   	1
62 	62 	7/8     	7/8     	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
63 	63 	0       	0       	4/4    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
63 	63 	1/4     	1/4     	4/4    	4    	1    	i\\      	a        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
64 	64 	0       	0       	4/4    	4    	1    	#viio(2) 	a        	i       	     	#viio(2) 	#vii   	o   	       	2      	            	       	         	o         	1                 	1                	0, 2, -1   	           	5   	0
64 	64 	1/4     	1/4     	4/4    	4    	1    	#viio    	a        	i       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1   	           	5   	5
65 	65 	0       	0       	4/4    	4    	1    	#viio(2) 	a        	i       	     	#viio(2) 	#vii   	o   	       	2      	            	       	         	o         	1                 	1                	0, 2, -1   	           	5   	0
65 	65 	3/4     	3/4     	4/4    	4    	1    	#viio    	a        	i       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	1                 	1                	5, 2, -1   	           	5   	5
66 	66 	0       	0       	4/4    	4    	1    	i(94)    	a        	i       	     	i(94)    	i      	    	       	94     	            	       	         	m         	1                 	1                	0, -1, 1   	2          	0   	0
66 	66 	1/2     	1/2     	4/4    	4    	1    	i\\      	a        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
67 	67 	1/2     	1/2     	4/4    	4    	1    	iv6(2)   	a        	i       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1   	           	-1  	-4
68 	68 	1/4     	1/4     	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
69 	69 	0       	0       	4/4    	4    	1    	iv6(2)   	a        	i       	     	iv6(2)   	iv     	    	6      	2      	            	       	         	m         	1                 	1                	-4, 0, 1   	           	-1  	-4
69 	69 	3/4     	3/4     	4/4    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
70 	70 	0       	0       	4/4    	4    	1    	V        	a        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
70 	70 	1/2     	1/2     	4/4    	4    	1    	V\\      	a        	i       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2    	           	1   	1
70 	70 	3/4     	3/4     	4/4    	4    	1    	v.i      	a        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
71 	71 	1/4     	1/4     	4/4    	4    	1    	V6       	a        	v       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
71 	71 	1/2     	1/2     	4/4    	4    	1    	i        	a        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
72 	72 	0       	0       	4/4    	4    	1    	V(64)    	a        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
72 	72 	1/2     	1/2     	4/4    	4    	1    	V        	a        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
73 	73 	0       	0       	4/4    	4    	1    	VI       	a        	v       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3  	           	-4  	-4
73 	73 	1/4     	1/4     	4/4    	4    	1    	V6/iv    	a        	v       	     	V6/iv    	V      	    	6      	       	iv          	       	         	M         	1                 	1                	4, 1, 0    	           	0   	4
73 	73 	1/2     	1/2     	4/4    	4    	1    	iv       	a        	v       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
73 	73 	3/4     	3/4     	4/4    	4    	1    	#viio6/iv	a        	v       	     	#viio6/iv	#vii   	o   	6      	       	iv          	       	         	o         	1                 	1                	1, -2, 4   	           	4   	1
74 	74 	0       	0       	4/4    	4    	1    	iv6      	a        	v       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
74 	74 	1/2     	1/2     	4/4    	4    	1    	V(64)    	a        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
74 	74 	3/4     	3/4     	4/4    	4    	1    	V        	a        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
75 	75 	0       	0       	4/4    	4    	1    	VI6      	a        	v       	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
75 	75 	1/4     	1/4     	4/4    	4    	1    	V/iv     	a        	v       	     	V/iv     	V      	    	       	       	iv          	       	         	M         	1                 	1                	0, 4, 1    	           	0   	0
75 	75 	1/2     	1/2     	4/4    	4    	1    	iv       	a        	v       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
76 	76 	0       	0       	4/4    	4    	1    	V(64)    	a        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
76 	76 	1/2     	1/2     	4/4    	4    	1    	VII      	a        	v       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
77 	77 	0       	0       	4/4    	4    	1    	VI       	a        	v       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3  	           	-4  	-4
77 	77 	1/4     	1/4     	4/4    	4    	1    	VI6      	a        	v       	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
77 	77 	1/2     	1/2     	4/4    	4    	1    	i6       	a        	v       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
77 	77 	3/4     	3/4     	4/4    	4    	1    	V6       	a        	v       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
78 	78 	0       	0       	4/4    	4    	1    	i        	a        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
78 	78 	1/2     	1/2     	4/4    	4    	1    	i6       	a        	v       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
78 	78 	3/4     	3/4     	4/4    	4    	1    	III      	a        	v       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2  	           	-3  	-3
79 	79 	0       	0       	4/4    	4    	1    	V(64)/v  	a        	v       	     	V(64)/v  	V      	    	       	64     	v           	       	         	M         	1                 	1                	2, 1, -2   	           	2   	2
79 	79 	1/4     	1/4     	4/4    	4    	1    	V/v      	a        	v       	     	V/v      	V      	    	       	       	v           	       	         	M         	1                 	1                	2, 6, 3    	           	2   	2
79 	79 	1/2     	1/2     	4/4    	4    	1    	v        	a        	v       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
80 	80 	0       	0       	4/4    	4    	1    	iv       	a        	v       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
80 	80 	1/2     	1/2     	4/4    	4    	1    	iv6      	a        	v       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
81 	81 	0       	0       	4/4    	4    	1    	v(6)     	a        	v       	     	v(6)     	v      	    	       	6      	            	       	         	m         	1                 	1                	1, -2, -3  	           	1   	1
81 	81 	1/4     	1/4     	4/4    	4    	1    	V(64)    	a        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3   	           	1   	1
81 	81 	1/2     	1/2     	4/4    	4    	1    	V(4)     	a        	v       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2    	           	1   	1
81 	81 	3/4     	3/4     	4/4    	4    	1    	V        	a        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2    	           	1   	1
82 	82 	0       	0       	4/4    	4    	1    	i\\      	a        	v       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
83 	83 	0       	0       	4/4    	4    	1    	III.I    	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
85 	85 	0       	0       	4/4    	4    	1    	IV       	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
87 	87 	0       	0       	4/4    	4    	1    	iii      	a        	III     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5    	           	4   	4
88 	88 	0       	0       	4/4    	4    	1    	iv.V6    	a        	iv      	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
89 	89 	1       	1       	3/1    	4    	1    	V65      	a        	iv      	     	V65      	V      	    	65     	       	            	       	         	Mm7       	1                 	1                	5, 2, -1, 1	           	1   	5
89 	89 	2       	2       	3/1    	4    	1    	V6(6)    	a        	iv      	     	V6(6)    	V      	    	6      	6      	            	       	         	M         	1                 	1                	5, -3, 1   	           	1   	5
90 	90 	0       	0       	3/1    	4    	1    	V65      	a        	iv      	     	V65      	V      	    	65     	       	            	       	         	Mm7       	1                 	1                	5, 2, -1, 1	           	1   	5
90 	90 	1       	1       	3/1    	4    	1    	V6(6)    	a        	iv      	     	V6(6)    	V      	    	6      	6      	            	       	         	M         	1                 	1                	5, -3, 1   	           	1   	5
90 	90 	2       	2       	3/1    	4    	1    	V6       	a        	iv      	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
91 	91 	0       	0       	3/1    	4    	1    	i        	a        	iv      	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
91 	91 	1       	1       	3/1    	4    	1    	v6       	a        	iv      	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
