mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
78	78	0       	0       	4/4    	5    	1    	VI       	iv6      	g        	v       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
78	78	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	v       	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
78	78	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	v       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
79	79	0       	0       	4/4    	5    	1    	i\\      	         	g        	v       	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
80	80	0       	0       	4/4    	5    	1    	i.i      	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
81	81	1/2     	1/2     	4/4    	5    	1    	V6       	         	g        	i       	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
81	81	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	i       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
82	82	0       	0       	4/4    	5    	1    	iv       	         	g        	i       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
82	82	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	i       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
83	83	0       	0       	4/4    	5    	1    	v.i      	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
84	84	1/2     	1/2     	4/4    	5    	1    	V6       	         	g        	v       	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
84	84	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	v       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
85	85	0       	0       	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
85	85	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	v       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
85	85	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	v       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
86	86	0       	0       	4/4    	5    	1    	iv6      	         	g        	v       	     	iv6    	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1    	           	-1  	-4
86	86	1/4     	1/4     	4/4    	5    	1    	VII      	         	g        	v       	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
86	86	1/2     	1/2     	4/4    	5    	1    	III6     	         	g        	v       	     	III6   	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3    	           	-3  	1
86	86	3/4     	3/4     	4/4    	5    	1    	VI       	         	g        	v       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
87	87	0       	0       	4/4    	5    	1    	iio6     	         	g        	v       	     	iio6   	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2    	           	2   	-1
87	87	1/4     	1/4     	4/4    	5    	1    	v        	         	g        	v       	     	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
87	87	1/2     	1/2     	4/4    	5    	1    	i6       	         	g        	v       	     	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
87	87	3/4     	3/4     	4/4    	5    	1    	iv       	         	g        	v       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
88	88	0       	0       	4/4    	5    	1    	VII6     	         	g        	v       	     	VII6   	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2    	           	-2  	2
88	88	1/4     	1/4     	4/4    	5    	1    	III      	         	g        	v       	     	III    	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
88	88	1/2     	1/2     	4/4    	5    	1    	i        	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
89	89	0       	0       	4/4    	5    	1    	V        	         	g        	v       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
89	89	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	v       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
90	90	0       	0       	4/4    	5    	1    	i.i6     	III      	g        	i       	     	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
90	90	1/4     	1/4     	4/4    	5    	1    	i        	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
90	90	1/2     	1/2     	4/4    	5    	1    	V65/VII  	         	g        	i       	     	V65/VII	V      	    	65     	       	VII         	       	         	Mm7       	1                 	1                	3, 0, -3, -1 	           	-1  	3
90	90	3/4     	3/4     	4/4    	5    	1    	VII      	         	g        	i       	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
91	91	0       	0       	4/4    	5    	1    	IIIM65   	         	g        	i       	     	IIIM65 	III    	M   	65     	       	            	       	         	MM7       	1                 	1                	1, -2, 2, -3 	           	-3  	1
91	91	1/4     	1/4     	4/4    	5    	1    	VI       	         	g        	i       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
91	91	1/2     	1/2     	4/4    	5    	1    	ii65     	         	g        	i       	     	ii65   	ii     	    	65     	       	            	       	         	mm7       	1                 	1                	-1, 3, 0, 2  	           	2   	-1
91	91	3/4     	3/4     	4/4    	5    	1    	v        	         	g        	i       	     	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
92	92	0       	0       	4/4    	5    	1    	i65      	         	g        	i       	     	i65    	i      	    	65     	       	            	       	         	mm7       	1                 	1                	-3, 1, -2, 0 	           	0   	-3
