mc	mn	mc_onset	mn_onset	timesig	staff	voice	label  	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
35	35	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
36	36	0       	0       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
36	36	1       	1       	4/4    	5    	1    	ii6    	         	F        	I       	     	ii6    	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
37	37	0       	0       	4/4    	5    	1    	vi6    	I(6)     	F        	I       	     	vi6    	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
37	37	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
38	38	0       	0       	4/4    	5    	1    	IV     	         	F        	I       	     	IV     	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
38	38	1       	1       	4/4    	5    	1    	IV6    	         	F        	I       	     	IV6    	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1   	           	-1  	3
39	39	0       	0       	4/4    	5    	1    	vi     	         	F        	I       	     	vi     	vi     	    	       	       	            	       	         	m         	0                 	0                	3, 0, 4    	           	3   	3
39	39	1       	1       	4/4    	5    	1    	iii6   	         	F        	I       	     	iii6   	iii    	    	6      	       	            	       	         	m         	0                 	0                	1, 5, 4    	           	4   	1
40	40	0       	0       	4/4    	5    	1    	ii6(2) 	         	F        	I       	     	ii6(2) 	ii     	    	6      	2      	            	       	         	m         	0                 	0                	-1, 3, 4   	           	2   	-1
40	40	1       	1       	4/4    	5    	1    	ii6    	         	F        	I       	     	ii6    	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
41	41	0       	0       	4/4    	5    	1    	I6     	         	F        	I       	     	I6     	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0    	           	0   	4
41	41	1       	1       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
42	42	0       	0       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
42	42	3/2     	3/2     	4/4    	5    	1    	viio6  	         	F        	I       	     	viio6  	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5   	           	5   	2
43	43	0       	0       	4/4    	5    	1    	I      	         	F        	I       	     	I      	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
44	44	0       	0       	4/4    	5    	1    	ii     	         	F        	I       	     	ii     	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3   	           	2   	2
