mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
32	32	3/4     	3/4     	4/4    	5    	1    	V6         	         	d        	III     	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1     	           	1   	5
33	33	0       	0       	4/4    	5    	1    	V          	         	d        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
33	33	1/4     	1/4     	4/4    	5    	1    	V(64)      	         	d        	III     	     	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	0                	1, 0, 4     	           	1   	1
33	33	1/2     	1/2     	4/4    	5    	1    	V(4)       	         	d        	III     	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2     	           	1   	1
33	33	3/4     	3/4     	4/4    	5    	1    	V          	         	d        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
34	34	0       	0       	4/4    	5    	1    	I\\        	         	d        	III     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
34	34	1/4     	1/4     	4/4    	5    	1    	VI.V       	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
34	34	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	VI      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
35	35	1/2     	1/2     	4/4    	5    	1    	V(64)      	         	d        	VI      	     	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	0                	1, 0, 4     	           	1   	1
36	36	0       	0       	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
36	36	1/2     	1/2     	4/4    	5    	1    	I\\        	         	d        	VI      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
37	37	0       	0       	4/4    	5    	1    	iv.III     	         	d        	iv      	     	III    	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2   	           	-3  	-3
38	38	0       	0       	4/4    	5    	1    	i          	         	d        	iv      	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
38	38	1/2     	1/2     	4/4    	5    	1    	VI         	iv6      	d        	iv      	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3   	           	-4  	-4
39	39	0       	0       	4/4    	5    	1    	V(4)       	         	d        	iv      	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2     	           	1   	1
39	39	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
40	40	0       	0       	4/4    	5    	1    	i\\        	         	d        	iv      	     	i      	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1    	           	0   	0
40	40	1/2     	1/2     	4/4    	5    	1    	i.iv       	         	d        	i       	     	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
41	41	1/2     	1/2     	4/4    	5    	1    	iv6        	         	d        	i       	     	iv6    	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1   	           	-1  	-4
42	42	0       	0       	4/4    	5    	1    	V(64)      	         	d        	i       	     	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
43	43	0       	0       	4/4    	5    	1    	V(4)       	         	d        	i       	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2     	           	1   	1
43	43	1/2     	1/2     	4/4    	5    	1    	V          	         	d        	i       	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
44	44	0       	0       	4/4    	5    	1    	I\\        	         	d        	i       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1     	           	0   	0
44	44	3/4     	3/4     	4/4    	5    	1    	VI.V/vi    	         	d        	VI      	     	V/vi   	V      	    	       	       	vi          	       	         	M         	1                 	0                	4, 8, 5     	           	4   	4
45	45	3/4     	3/4     	4/4    	5    	1    	vi         	         	d        	VI      	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4     	           	3   	3
46	46	0       	0       	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
46	46	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	VI      	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
46	46	3/4     	3/4     	4/4    	5    	1    	IV         	         	d        	VI      	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0    	           	-1  	-1
47	47	0       	0       	4/4    	5    	1    	V          	         	d        	VI      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2     	           	1   	1
47	47	1/2     	1/2     	4/4    	5    	1    	I\\        	         	d        	VI      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
47	47	3/4     	3/4     	4/4    	5    	1    	i.VI6      	         	d        	i       	     	VI6    	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4   	           	-4  	0
48	48	0       	0       	4/4    	5    	1    	III        	         	d        	i       	     	III    	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2   	           	-3  	-3
48	48	3/4     	3/4     	4/4    	5    	1    	i6         	         	d        	i       	     	i6     	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0    	           	0   	-3
49	49	0       	0       	4/4    	5    	1    	VII(94)    	         	d        	i       	     	VII(94)	VII    	    	       	94     	            	       	         	M         	1                 	1                	-2, -3, -1  	0          	-2  	-2
49	49	1/4     	1/4     	4/4    	5    	1    	v65        	         	d        	i       	     	v65    	v      	    	65     	       	            	       	         	mm7       	1                 	1                	-2, 2, -1, 1	           	1   	-2
49	49	1/2     	1/2     	4/4    	5    	1    	I          	         	d        	i       	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
