mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
82	82	0	0	3/4	2	1		I64(4)		a	i		I64(4)	I		64	4				M	1	1	1, 0, -1		0	1
82	82	1/4	1/4	3/4	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
82	82	1/2	1/2	3/4	2	1		#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
83	83	0	0	3/4	2	1		I		a	i		I	I							M	1	1	0, 4, 1		0	0
83	83	1/4	1/4	3/4	2	1		I64		a	i		I64	I		64					M	1	1	1, 0, 4		0	1
83	83	3/8	3/8	3/4	2	1		#vi2		a	i		#vi2	#vi		2					mm7	1	1	1, 3, 0, 4		3	1
84	84	0	0	3/4	2	1		I6(4)		a	i		I6(4)	I		6	4				M	1	1	-1, 1, 0		0	-1
84	84	1/4	1/4	3/4	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
84	84	1/2	1/2	3/4	2	1		#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
85	85	0	0	3/4	2	1		I		a	i		I	I							M	1	1	0, 4, 1		0	0
85	85	1/4	1/4	3/4	2	1		I64		a	i		I64	I		64					M	1	1	1, 0, 4		0	1
85	85	3/8	3/8	3/4	2	1		#vi2		a	i		#vi2	#vi		2					mm7	1	1	1, 3, 0, 4		3	1
86	86	0	0	3/4	2	1		IVM7(+2)		a	i		IVM7(+2)	IV	M	7	+2				MM7	1	1	-1, 3, 0, 4	1	-1	-1
86	86	1/8	1/8	3/4	2	1		IVM7		a	i		IVM7	IV	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1
87	87	0	0	3/4	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
88	88	0	0	3/4	2	1		IVM7(+2)		a	i		IVM7(+2)	IV	M	7	+2				MM7	1	1	-1, 3, 0, 4	1	-1	-1
88	88	1/8	1/8	3/4	2	1		IVM7		a	i		IVM7	IV	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1
89	89	0	0	3/4	2	1		ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
89	89	1/4	1/4	3/4	2	1		ii64		a	i		ii64	ii		64					m	1	1	3, 2, -1		2	3
89	89	1/2	1/2	3/4	2	1		ii2		a	i		ii2	ii		2					mm7	1	1	0, 2, -1, 3		2	0
90	90	0	0	3/4	2	1		#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
91	91	0	0	3/4	2	1		V7/#vi		a	i		V7/#vi	V		7		#vi			Mm7	1	1	4, 8, 5, 2		4	4
91	91	1/4	1/4	3/4	2	1		V2/#vi		a	i		V2/#vi	V		2		#vi			Mm7	1	1	2, 4, 8, 5		4	2
92	92	0	0	3/4	2	1		#vi		a	i		#vi	#vi							m	1	1	3, 0, 4		3	3
93	93	0	0	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
94	94	1/4	1/4	3/4	2	1		IV(2)		a	i		IV(2)	IV			2				M	1	1	1, 3, 0		-1	1
94	94	1/2	1/2	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
95	95	0	0	3/4	2	1		ii7		a	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
96	96	1/2	1/2	3/4	2	1		ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
97	97	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
97	97	3/16	3/16	3/4	2	1		V7	v7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
97	97	1/4	1/4	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
97	97	5/8	5/8	3/4	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
98	98	0	0	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	3/16	3/16	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
98	98	1/4	1/4	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
98	98	5/8	5/8	3/4	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
99	99	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
99	99	3/16	3/16	3/4	2	1		V7	v7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
99	99	1/4	1/4	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
99	99	5/8	5/8	3/4	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
100	100	0	0	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
100	100	3/16	3/16	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
100	100	1/4	1/4	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
100	100	5/8	5/8	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
102	102	1/4	1/4	3/4	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
102	102	1/2	1/2	3/4	2	1		v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
103	103	0	0	3/4	2	1		i|PAC}		a	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
