mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
37	37	0	0	3/4	2	1		bII(4)		a	i	bII	bII(4)	bII			4				M	1	1	-5, 1, -4		-5	-5
37	37	1/4	1/4	3/4	2	1		bII		a	i	bII	bII	bII							M	1	1	-5, -1, -4		-5	-5
37	37	1/2	1/2	3/4	2	1		bII(+2)]		a	i	bII	bII(+2)	bII			+2				M	1	1	-5, -1, -4	-3	-5	-5
38	38	0	0	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
38	38	1/4	1/4	3/4	2	1		VIM7		a	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
38	38	1/2	1/2	3/4	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
39	39	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
39	39	1/4	1/4	3/4	2	1		v43	V43	a	i		v43	v		43					mm7	1	1	2, -1, 1, -2		1	2
39	39	3/8	3/8	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
39	39	1/2	1/2	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
39	39	5/8	5/8	3/4	2	1		ii%43		a	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
40	40	0	0	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
40	40	1/4	1/4	3/4	2	1		VIM7		a	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
40	40	1/2	1/2	3/4	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
41	41	0	0	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
41	41	1/4	1/4	3/4	2	1		v43	V43	a	i		v43	v		43					mm7	1	1	2, -1, 1, -2		1	2
41	41	1/2	1/2	3/4	2	1		i6	III	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
42	42	0	0	3/4	2	1		IV7(+6+2)		a	i		IV7(+6+2)	IV		7	+6+2				Mm7	1	1	-1, 3, 0, -3	2, 1	-1	-1
44	44	0	0	3/4	2	1		iv2(+6)		a	i		iv2(+6)	iv		2	+6				mm7	1	1	-3, -1, -4, 0	2	-1	-3
45	45	0	0	3/4	2	1		IV2	V2/VII	a	i		IV2	IV		2					Mm7	1	1	-3, -1, 3, 0		-1	-3
45	45	1/2	1/2	3/4	2	1		IV7(+2)	V7(+2)/VII	a	i		IV7(+2)	IV		7	+2				Mm7	1	1	-1, 3, 0, -3	1	-1	-1
46	46	0	0	3/4	2	1		VII(+6+2)		a	i		VII(+6+2)	VII			+6+2				M	1	1	-2, 2, -1	1, 0	-2	-2
46	46	1/2	1/2	3/4	2	1		III(+6)		a	i		III(+6)	III			+6				M	1	1	-3, 1, -2	0	-3	-3
47	47	0	0	3/4	2	1		VII(+6+2)		a	i		VII(+6+2)	VII			+6+2				M	1	1	-2, 2, -1	1, 0	-2	-2
47	47	1/2	1/2	3/4	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
47	47	5/8	5/8	3/4	2	1		#vi%7		a	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
48	48	0	0	3/4	2	1		III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
48	48	1/2	1/2	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
49	49	0	0	3/4	2	1		i(742)|PAC		a	i		i(742)	i			742		PAC		m	1	1	2, -1, 1	-2	0	2
49	49	1/8	1/8	3/4	2	1		i}		a	i		i	i						}	m	1	1	0, -3, 1		0	0
