mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
10	10	0	0	4/4	2	1		VI64	f#	i		VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
10	10	1/2	1/2	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	11	1/2	1/2	4/4	2	1		V6/III	f#	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
12	12	0	0	4/4	2	1		V/III	f#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
12	12	1/2	1/2	4/4	2	1		V43(2)/III	f#	i		V43(2)/III		V		43	2	III			Mm7	1	1	-1, -4, 0, 2		-2	-1
12	12	3/4	3/4	4/4	2	1		V43/III	f#	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
13	13	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
13	13	1/2	1/2	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	0	0	4/4	2	1		V65/V	f#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
15	15	1/2	1/2	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
16	16	0	0	4/4	2	1		V65/V	f#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
16	16	1/2	1/2	4/4	2	1		V43(+2)/III	f#	i		V43(+2)/III		V		43	+2	III			Mm7	1	1	-1, -4, -2, 2	0	-2	-1
17	17	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
17	17	1/2	1/2	4/4	2	1		V43/VII	f#	i		V43/VII		V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
18	18	0	0	4/4	2	1		V	f#	i		V		V							M	1	1	1, 5, 2		1	1
19	19	1/2	1/2	4/4	2	1		iv7	f#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
20	20	0	0	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
21	21	1/2	1/2	4/4	2	1		iv7	f#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
22	22	0	0	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
23	23	1/2	1/2	4/4	2	1		V43(42)/III	f#	i		V43(42)/III		V		43	42	III			Mm7	1	1	-1, -4, 0, -3		-2	-1
23	23	3/4	3/4	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
24	24	0	0	4/4	2	1		V7(+2)/VI	f#	i		V7(+2)/VI		V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
24	24	1/2	1/2	4/4	2	1		VIM7	f#	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
25	25	0	0	4/4	2	1		i7	f#	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
25	25	1/2	1/2	4/4	2	1		iv7	f#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
26	26	0	0	4/4	2	1		vii7	f#	i		vii7		vii		7					mm7	1	1	-2, -5, -1, -4		-2	-2
26	26	1/2	1/2	4/4	2	1		V43(4)/VI	f#	i		V43(4)/VI		V		43	4	VI			Mm7	1	1	-2, -5, -3, -4		-3	-2
26	26	3/4	3/4	4/4	2	1		V7(2)/VI	f#	i		V7(2)/VI		V		7	2	VI			Mm7	1	1	-1, 1, -2, -5		-3	-1
27	27	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
27	27	1/2	1/2	4/4	2	1		i2	f#	i		i2		i		2					mm7	1	1	-2, 0, -3, 1		0	-2
28	28	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
28	28	1/2	1/2	4/4	2	1		VI64	f#	i		VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
29	29	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
29	29	1/2	1/2	4/4	2	1		iv43(2)	f#	i		iv43(2)		iv		43	2				mm7	1	1	0, -3, 1, -4		-1	0
30	30	0	0	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
30	30	1/2	1/2	4/4	2	1		#viio43	f#	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
31	31	0	0	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
31	31	1/2	1/2	4/4	2	1		iv(+6)	f#	i		iv(+6)		iv			+6				m	1	1	-1, -4, 0	2	-1	-1
32	32	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
32	32	1/2	1/2	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
33	33	0	0	4/4	2	1		V65/V	f#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
33	33	1/2	1/2	4/4	2	1		i43(+2)	f#	i		i43(+2)		i		43	+2				mm7	1	1	1, -2, 0, -3	2	0	1
34	34	0	0	4/4	2	1		V43/V	f#	i		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
34	34	1/2	1/2	4/4	2	1		i2(4)	f#	i		i2(4)		i		2	4				mm7	1	1	-2, 0, -1, 1		0	-2
35	35	0	0	4/4	2	1		viio65/V	f#	i		viio65/V		vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
35	35	1/2	1/2	4/4	2	1		V/V	f#	i		V/V		V				V			M	1	1	2, 6, 3		2	2
36	36	0	0	4/4	2	1		V65/III	f#	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
36	36	1/2	1/2	4/4	2	1		V7(+6)/III	f#	i		V7(+6)/III		V		7	+6	III			Mm7	1	1	-2, 2, -1, -4	1	-2	-2
37	37	1/2	1/2	4/4	2	1		V7	f#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
38	38	0	0	4/4	2	1		V43	f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
39	39	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
39	39	1/2	1/2	4/4	2	1		Ger6/V	f#	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
40	40	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
40	40	1/2	1/2	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
41	41	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
41	41	1/2	1/2	4/4	2	1		Ger6/V	f#	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
42	42	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
42	42	1/2	1/2	4/4	2	1		V/VII	f#	i		V/VII		V				VII			M	1	1	-1, 3, 0		-1	-1
43	43	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
43	43	1/2	1/2	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
44	44	0	0	4/4	2	1		vii%43/VII	f#	i		vii%43/VII		vii	%	43		VII			%7	1	1	-3, 1, 3, 0		3	-3
44	44	1/2	1/2	4/4	2	1		VII6	f#	i		VII6		VII		6					M	1	1	2, -1, -2		-2	2
45	45	0	0	4/4	2	1		i7	f#	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
45	45	1/2	1/2	4/4	2	1		V7(4)/VII	f#	i		V7(4)/VII		V		7	4	VII			Mm7	1	1	-1, -2, 0, -3		-1	-1
45	45	3/4	3/4	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
46	46	0	0	4/4	2	1		VII(6)	f#	i		VII(6)		VII			6				M	1	1	-2, 2, 1		-2	-2
46	46	1/4	1/4	4/4	2	1		VII	f#	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
47	47	0	0	4/4	2	1		#viio7/ii	f#	i		#viio7/ii		#vii	o	7		ii			o7	1	1	7, 4, 1, -2		7	7
47	47	1/2	1/2	4/4	2	1		ii	f#	i		ii		ii							m	1	1	2, -1, 3		2	2
48	48	0	0	4/4	2	1		v	f#	i		v		v							m	1	1	1, -2, 2		1	1
48	48	1/2	1/2	4/4	2	1		ii	f#	i		ii		ii							m	1	1	2, -1, 3		2	2
49	49	0	0	4/4	2	1		V7/iv	f#	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
49	49	1/2	1/2	4/4	2	1		V2(6)/IV	f#	i		V2(6)/IV		V		2	6	IV			Mm7	1	1	-2, 0, 4, 3		0	-2
49	49	3/4	3/4	4/4	2	1		V2/IV	f#	i		V2/IV		V		2		IV			Mm7	1	1	-2, 0, 4, 1		0	-2
50	50	0	0	4/4	2	1		IV6(72)	f#	i		IV6(72)		IV		6	72				M	1	1	3, 0, 1, -3		-1	3
50	50	1/4	1/4	4/4	2	1		IV6	f#	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
50	50	1/2	1/2	4/4	2	1		IV	f#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
50	50	3/4	3/4	4/4	2	1		IV64	f#	i		IV64		IV		64					M	1	1	0, -1, 3		-1	0
51	51	0	0	4/4	2	1		v(2)	f#	i		v(2)		v			2				m	1	1	-4, -2, 2		1	-4
51	51	1/4	1/4	4/4	2	1		v	f#	i		v		v							m	1	1	1, -2, 2		1	1
51	51	1/2	1/2	4/4	2	1		v2(2)	f#	i		v2(2)		v		2	2				mm7	1	1	-1, -4, -2, 2		1	-1
51	51	3/4	3/4	4/4	2	1		v2	f#	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
52	52	0	0	4/4	2	1		#vii%7(4)/iv	f#	i		#vii%7(4)/iv		#vii	%	7	4	iv			%7	1	1	4, -4, -2, 2		4	4
52	52	1/4	1/4	4/4	2	1		#vii%7/iv	f#	i		#vii%7/iv		#vii	%	7		iv			%7	1	1	4, 1, -2, 2		4	4
52	52	1/2	1/2	4/4	2	1		VIIM65	f#	i		VIIM65		VII	M	65					MM7	1	1	2, -1, 3, -2		-2	2
53	53	0	0	4/4	2	1		v(2)	f#	i		v(2)		v			2				m	1	1	-4, -2, 2		1	-4
53	53	1/4	1/4	4/4	2	1		v	f#	i		v		v							m	1	1	1, -2, 2		1	1
53	53	1/2	1/2	4/4	2	1		v2(2)	f#	i		v2(2)		v		2	2				mm7	1	1	-1, -4, -2, 2		1	-1
53	53	3/4	3/4	4/4	2	1		v2	f#	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
54	54	0	0	4/4	2	1		#vii%7(4)/iv	f#	i		#vii%7(4)/iv		#vii	%	7	4	iv			%7	1	1	4, -4, -2, 2		4	4
54	54	1/4	1/4	4/4	2	1		#vii%7/iv	f#	i		#vii%7/iv		#vii	%	7		iv			%7	1	1	4, 1, -2, 2		4	4
54	54	1/2	1/2	4/4	2	1		V/iv	f#	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
54	54	3/4	3/4	4/4	2	1		V7(+2)/iv	f#	i		V7(+2)/iv		V		7	+2	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
55	55	0	0	4/4	2	1		iv(2)	f#	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1	1
55	55	1/4	1/4	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
55	55	1/2	1/2	4/4	2	1		iv2(2)	f#	i		iv2(2)		iv		2	2				mm7	1	1	-3, 1, -4, 0		-1	-3
55	55	3/4	3/4	4/4	2	1		iv2	f#	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
56	56	0	0	4/4	2	1		vii%7(4)/III	f#	i		vii%7(4)/III		vii	%	7	4	III			%7	1	1	2, 1, -4, 0		2	2
56	56	1/4	1/4	4/4	2	1		vii%7/III	f#	i		vii%7/III		vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
56	56	1/2	1/2	4/4	2	1		VIM65	f#	i		VIM65		VI	M	65					MM7	1	1	0, -3, 1, -4		-4	0
57	57	0	0	4/4	2	1		iv(2)	f#	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1	1
57	57	1/4	1/4	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
57	57	1/2	1/2	4/4	2	1		iv2(2)	f#	i		iv2(2)		iv		2	2				mm7	1	1	-3, 1, -4, 0		-1	-3
57	57	3/4	3/4	4/4	2	1		iv2	f#	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
58	58	0	0	4/4	2	1		vii%7(4)/III	f#	i		vii%7(4)/III		vii	%	7	4	III			%7	1	1	2, 1, -4, 0		2	2
58	58	1/4	1/4	4/4	2	1		vii%7/III	f#	i		vii%7/III		vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
58	58	1/2	1/2	4/4	2	1		V/III	f#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
58	58	3/4	3/4	4/4	2	1		V7(+2)/III	f#	i		V7(+2)/III		V		7	+2	III			Mm7	1	1	-2, 2, -1, -4	0	-2	-2
59	59	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
59	59	1/2	1/2	4/4	2	1		III6	f#	i		III6		III		6					M	1	1	1, -2, -3		-3	1
60	60	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
61	61	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
61	61	1/2	1/2	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
61	61	3/4	3/4	4/4	2	1		III(+6)	f#	i		III(+6)		III			+6				M	1	1	-3, 1, -2	0	-3	-3
62	62	0	0	4/4	2	1		VIM7	f#	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
63	63	0	0	4/4	2	1		bII	f#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
64	64	0	0	4/4	2	1		vi7	f#	i		vi7		vi		7					mm7	1	1	-4, -7, -3, -6		-4	-4
64	64	1/2	1/2	4/4	2	1		bIM7	f#	i		bIM7		bI	M	7					MM7	1	1	-7, -3, -6, -2		-7	-7
65	65	0	0	4/4	2	1		bII	f#	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
65	65	1/2	1/2	4/4	2	1		V2/bV	f#	i		V2/bV		V		2		bV			Mm7	1	1	-7, -5, -1, -4		-5	-7
66	66	0	0	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
66	66	1/2	1/2	4/4	2	1		V/III	f#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
67	67	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
67	67	1/2	1/2	4/4	2	1		IIIM2	f#	i		IIIM2		III	M	2					MM7	1	1	2, -3, 1, -2		-3	2
68	68	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
68	68	1/2	1/2	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
69	69	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
69	69	1/2	1/2	4/4	2	1		i7	f#	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
70	70	0	0	4/4	2	1		V7(+2)/VII	f#	i		V7(+2)/VII		V		7	+2	VII			Mm7	1	1	-1, 3, 0, -3	1	-1	-1
70	70	1/2	1/2	4/4	2	1		V43(+2)/VII	f#	i		V43(+2)/VII		V		43	+2	VII			Mm7	1	1	0, -3, -1, 3	1	-1	0
71	71	0	0	4/4	2	1		V7(+2)/VII	f#	i		V7(+2)/VII		V		7	+2	VII			Mm7	1	1	-1, 3, 0, -3	1	-1	-1
71	71	1/2	1/2	4/4	2	1		V43(+2)/VII	f#	i		V43(+2)/VII		V		43	+2	VII			Mm7	1	1	0, -3, -1, 3	1	-1	0
72	72	0	0	4/4	2	1		V7(+2)/VII	f#	i		V7(+2)/VII		V		7	+2	VII			Mm7	1	1	-1, 3, 0, -3	1	-1	-1
72	72	1/2	1/2	4/4	2	1		V43(+2)/VII	f#	i		V43(+2)/VII		V		43	+2	VII			Mm7	1	1	0, -3, -1, 3	1	-1	0
73	73	0	0	4/4	2	1		V7(+2)/VII	f#	i		V7(+2)/VII		V		7	+2	VII			Mm7	1	1	-1, 3, 0, -3	1	-1	-1
73	73	1/2	1/2	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
74	74	0	0	4/4	2	1		ii	f#	i		ii		ii							m	1	1	2, -1, 3		2	2
76	76	0	0	4/4	2	1		bIII.I	f#	bIII		I		I							M	1	0	0, 4, 1		0	0
76	76	1/2	1/2	4/4	2	1		I(#2)	f#	bIII		I(#2)		I			#2				M	1	0	0, 9, 1		0	0
76	76	3/4	3/4	4/4	2	1		I(7#2)	f#	bIII		I(7#2)		I			7#2				M	1	0	0, 9, 1	5	0	0
77	77	0	0	4/4	2	1		I	f#	bIII		I		I							M	1	0	0, 4, 1		0	0
77	77	1/2	1/2	4/4	2	1		I(7)	f#	bIII		I(7)		I			7				M	1	0	0, 4, 1	5	0	0
78	78	0	0	4/4	2	1		vi	f#	bIII		vi		vi							m	1	0	3, 0, 4		3	3
78	78	1/2	1/2	4/4	2	1		I64(7)	f#	bIII		I64(7)		I		64	7				M	1	0	1, 5, 4		0	1
79	79	0	0	4/4	2	1		ii65	f#	bIII		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
79	79	1/2	1/2	4/4	2	1		I64(6)	f#	bIII		I64(6)		I		64	6				M	1	0	3, 0, 4		0	3
80	80	0	0	4/4	2	1		ii43	f#	bIII		ii43		ii		43					mm7	1	0	3, 0, 2, -1		2	3
80	80	1/2	1/2	4/4	2	1		I64(7)	f#	bIII		I64(7)		I		64	7				M	1	0	1, 5, 4		0	1
80	80	3/4	3/4	4/4	2	1		I64(76)	f#	bIII		I64(76)		I		64	76				M	1	0	3, 5, 4		0	3
81	81	0	0	4/4	2	1		vii%43	f#	bIII		vii%43		vii	%	43					%7	1	0	-1, 3, 5, 2		5	-1
81	81	1/2	1/2	4/4	2	1		I6	f#	bIII		I6		I		6					M	1	0	4, 1, 0		0	4
81	81	3/4	3/4	4/4	2	1		I6(6)	f#	bIII		I6(6)		I		6	6				M	1	0	4, 3, 0		0	4
82	82	0	0	4/4	2	1		V43	f#	bIII		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
82	82	1/2	1/2	4/4	2	1		vi6	f#	bIII		vi6		vi		6					m	1	0	0, 4, 3		3	0
83	83	0	0	4/4	2	1		V65	f#	bIII		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
83	83	1/2	1/2	4/4	2	1		V43(2)	f#	bIII		V43(2)		V		43	2				Mm7	1	0	2, -1, 3, 5		1	2
83	83	3/4	3/4	4/4	2	1		V7	f#	bIII		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
84	84	0	0	4/4	2	1		I	f#	bIII		I		I							M	1	0	0, 4, 1		0	0
84	84	1/2	1/2	4/4	2	1		I(7#2)	f#	bIII		I(7#2)		I			7#2				M	1	0	0, 9, 1	5	0	0
85	85	0	0	4/4	2	1		I	f#	bIII		I		I							M	1	0	0, 4, 1		0	0
85	85	1/2	1/2	4/4	2	1		V+6(6)	f#	bIII		V+6(6)		V	+	6	6				+	1	0	5, 4, 1		1	5
85	85	3/4	3/4	4/4	2	1		V+6	f#	bIII		V+6		V	+	6					+	1	0	5, 9, 1		1	5
86	86	0	0	4/4	2	1		vi	f#	bIII		vi		vi							m	1	0	3, 0, 4		3	3
86	86	1/2	1/2	4/4	2	1		I64(7)	f#	bIII		I64(7)		I		64	7				M	1	0	1, 5, 4		0	1
87	87	0	0	4/4	2	1		V2/V	f#	bIII		V2/V		V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
88	88	0	0	4/4	2	1		i.ii[VII6	f#	i	ii	VII6		VII		6					M	1	1	2, -1, -2		-2	2
89	89	0	0	4/4	2	1		#vii%2/iv	f#	i	ii	#vii%2/iv		#vii	%	2		iv			%7	1	1	2, 4, 1, -2		4	2
90	90	0	0	4/4	2	1		VII6	f#	i	ii	VII6		VII		6					M	1	1	2, -1, -2		-2	2
91	91	0	0	4/4	2	1		V2/bVII	f#	i	ii	V2/bVII		V		2		bVII			Mm7	1	1	-10, -8, -4, -7		-8	-10
92	92	0	0	4/4	2	1		VII6	f#	i	ii	VII6		VII		6					M	1	1	2, -1, -2		-2	2
93	93	0	0	4/4	2	1		#vii%2/iv	f#	i	ii	#vii%2/iv		#vii	%	2		iv			%7	1	1	2, 4, 1, -2		4	2
94	94	0	0	4/4	2	1		VII6	f#	i	ii	VII6		VII		6					M	1	1	2, -1, -2		-2	2
95	95	0	0	4/4	2	1		V2/bVII	f#	i	ii	V2/bVII		V		2		bVII			Mm7	1	1	-10, -8, -4, -7		-8	-10
97	97	1/2	1/2	4/4	2	1		IV6(+6)]	f#	i	ii	IV6(+6)		IV		6	+6				M	1	1	3, 0, -1	2	-1	3
98	98	0	0	4/4	2	1		V2	f#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
98	98	1/2	1/2	4/4	2	1		IV6	f#	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
99	99	0	0	4/4	2	1		V2/bVII	f#	i		V2/bVII		V		2		bVII			Mm7	1	1	-10, -8, -4, -7		-8	-10
99	99	1/2	1/2	4/4	2	1		IV6(+6)	f#	i		IV6(+6)		IV		6	+6				M	1	1	3, 0, -1	2	-1	3
100	100	0	0	4/4	2	1		V2	f#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
100	100	1/2	1/2	4/4	2	1		IV	f#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
101	101	0	0	4/4	2	1		V2/bVII	f#	i		V2/bVII		V		2		bVII			Mm7	1	1	-10, -8, -4, -7		-8	-10
101	101	1/2	1/2	4/4	2	1		IV6(+6)	f#	i		IV6(+6)		IV		6	+6				M	1	1	3, 0, -1	2	-1	3
102	102	0	0	4/4	2	1		V2	f#	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
104	104	0	0	4/4	2	1		V+6	f#	i		V+6		V	+	6					+	1	1	5, 9, 1		1	5
106	106	0	0	4/4	2	1		i2	f#	i		i2		i		2					mm7	1	1	-2, 0, -3, 1		0	-2
106	106	1/2	1/2	4/4	2	1		i2(4)	f#	i		i2(4)		i		2	4				mm7	1	1	-2, 0, -1, 1		0	-2
107	107	0	0	4/4	2	1		vii%7(6)/VII	f#	i		vii%7(6)/VII		vii	%	7	6	VII			%7	1	1	3, 0, -1, 1		3	3
107	107	1/4	1/4	4/4	2	1		vii%7/VII	f#	i		vii%7/VII		vii	%	7		VII			%7	1	1	3, 0, -3, 1		3	3
107	107	1/2	1/2	4/4	2	1		VIM7	f#	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
108	108	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
108	108	1/2	1/2	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
108	108	3/4	3/4	4/4	2	1		iv7	f#	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
109	109	0	0	4/4	2	1		V7(4)	f#	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
109	109	1/2	1/2	4/4	2	1		V7	f#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
110	110	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
110	110	1/2	1/2	4/4	2	1		V43(4)	f#	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
110	110	3/4	3/4	4/4	2	1		V43	f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
111	111	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
111	111	1/2	1/2	4/4	2	1		V43(4)/III	f#	i		V43(4)/III		V		43	4	III			Mm7	1	1	-1, -4, -2, -3		-2	-1
111	111	3/4	3/4	4/4	2	1		V43/III	f#	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
112	112	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
112	112	1/2	1/2	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
